1,Welcome to JavaScript Tutorial 1,$This is the console,text 
2,Welcome to JavaScript Tutorial 2,$This is the console,text 
3,Welcome to JavaScript Tutorial 3,$This is the console,text 
4,Welcome to JavaScript Tutorial 4,$This is the console,text 
5,Welcome to JavaScript Tutorial 5,$This is the console,text 
6,Welcome to JavaScript Tutorial 6,$This is the console,text 
7,Welcome to JavaScript Tutorial 7,$This is the console,text 
8,Welcome to JavaScript Tutorial 8,$This is the console,text 
9,Welcome to JavaScript Tutorial 9,$This is the console,text 
10,Welcome to JavaScript Tutorial 10,$This is the console,text 
